# v  f0  f1x  f0*v^2  0.5*me*f1x*v^5
697.842 3.02157e-18 -6.75725e-23 1.47146e-12 -5.59148e-09
697.825 3.04795e-18 -6.71276e-23 1.48423e-12 -5.55396e-09
697.807 3.07437e-18 -6.66662e-23 1.49702e-12 -5.51508e-09
697.789 3.10082e-18 -6.61882e-23 1.50982e-12 -5.47484e-09
697.771 3.1273e-18 -6.56935e-23 1.52264e-12 -5.43323e-09
697.754 3.15382e-18 -6.51823e-23 1.53547e-12 -5.39027e-09
697.736 3.18037e-18 -6.46545e-23 1.54832e-12 -5.34594e-09
697.718 3.20696e-18 -6.411e-23 1.56118e-12 -5.30024e-09
697.7 3.23358e-18 -6.35489e-23 1.57406e-12 -5.25318e-09
697.682 3.26024e-18 -6.29711e-23 1.58696e-12 -5.20476e-09
697.665 3.28693e-18 -6.23766e-23 1.59987e-12 -5.15496e-09
697.647 3.31365e-18 -6.17654e-23 1.61279e-12 -5.1038e-09
697.629 3.34041e-18 -6.11375e-23 1.62573e-12 -5.05127e-09
697.611 3.36721e-18 -6.04928e-23 1.63869e-12 -4.99737e-09
697.594 3.39404e-18 -5.98313e-23 1.65166e-12 -4.94209e-09
697.576 3.4209e-18 -5.91531e-23 1.66465e-12 -4.88545e-09
697.558 3.4478e-18 -5.84581e-23 1.67765e-12 -4.82743e-09
697.54 3.47473e-18 -5.77462e-23 1.69067e-12 -4.76804e-09
697.522 3.5017e-18 -5.70176e-23 1.70371e-12 -4.70727e-09
697.505 3.5287e-18 -5.6272e-23 1.71676e-12 -4.64513e-09
697.487 3.55574e-18 -5.55096e-23 1.72982e-12 -4.58161e-09
697.469 3.58281e-18 -5.47303e-23 1.7429e-12 -4.51672e-09
697.451 3.60992e-18 -5.39341e-23 1.756e-12 -4.45044e-09
697.433 3.63706e-18 -5.3121e-23 1.76911e-12 -4.38279e-09
697.416 3.66423e-18 -5.22909e-23 1.78224e-12 -4.31375e-09
697.398 3.69145e-18 -5.14439e-23 1.79539e-12 -4.24333e-09
697.38 3.7187e-18 -5.05799e-23 1.80855e-12 -4.17153e-09
697.362 3.74598e-18 -4.96989e-23 1.82172e-12 -4.09835e-09
697.344 3.7733e-18 -4.88008e-23 1.83491e-12 -4.02378e-09
697.327 3.80065e-18 -4.78858e-23 1.84812e-12 -3.94782e-09
697.309 3.82804e-18 -4.69537e-23 1.86134e-12 -3.87048e-09
697.291 3.85546e-18 -4.60045e-23 1.87458e-12 -3.79176e-09
697.273 3.88292e-18 -4.50382e-23 1.88784e-12 -3.71164e-09
697.255 3.91042e-18 -4.40548e-23 1.90111e-12 -3.63013e-09
697.238 3.93795e-18 -4.30543e-23 1.9144e-12 -3.54724e-09
697.22 3.96552e-18 -4.20366e-23 1.9277e-12 -3.46295e-09
697.202 3.99312e-18 -4.10018e-23 1.94102e-12 -3.37727e-09
697.184 4.02076e-18 -3.99498e-23 1.95435e-12 -3.2902e-09
697.166 4.04843e-18 -3.88806e-23 1.9677e-12 -3.20173e-09
697.149 4.07614e-18 -3.77941e-23 1.98107e-12 -3.11187e-09
697.131 4.10388e-18 -3.66905e-23 1.99445e-12 -3.02061e-09
697.113 4.13166e-18 -3.55696e-23 2.00785e-12 -2.92795e-09
697.095 4.15948e-18 -3.44314e-23 2.02127e-12 -2.8339e-09
697.077 4.18734e-18 -3.32759e-23 2.0347e-12 -2.73845e-09
697.059 4.21522e-18 -3.21031e-23 2.04814e-12 -2.64159e-09
697.042 4.24315e-18 -3.09129e-23 2.06161e-12 -2.54334e-09
697.024 4.27111e-18 -2.97055e-23 2.07509e-12 -2.44368e-09
697.006 4.29911e-18 -2.84806e-23 2.08858e-12 -2.34262e-09
696.988 4.32714e-18 -2.72384e-23 2.10209e-12 -2.24016e-09
696.97 4.35521e-18 -2.59787e-23 2.11562e-12 -2.13629e-09
696.952 4.38332e-18 -2.47017e-23 2.12917e-12 -2.03101e-09
696.935 4.41146e-18 -2.34072e-23 2.14273e-12 -1.92433e-09
696.917 4.43964e-18 -2.20952e-23 2.1563e-12 -1.81624e-09
696.899 4.46786e-18 -2.07658e-23 2.1699e-12 -1.70674e-09
696.881 4.49611e-18 -1.94188e-23 2.18351e-12 -1.59583e-09
696.863 4.5244e-18 -1.80544e-23 2.19713e-12 -1.48351e-09
696.845 4.55272e-18 -1.66724e-23 2.21077e-12 -1.36977e-09
696.828 4.58109e-18 -1.52728e-23 2.22443e-12 -1.25463e-09
696.81 4.60949e-18 -1.38557e-23 2.23811e-12 -1.13807e-09
696.792 4.63792e-18 -1.24209e-23 2.2518e-12 -1.02009e-09
696.774 4.66639e-18 -1.09686e-23 2.26551e-12 -9.00702e-10
696.756 4.6949e-18 -9.49864e-24 2.27923e-12 -7.79894e-10
696.738 4.72345e-18 -8.01102e-24 2.29297e-12 -6.57667e-10
696.72 4.75203e-18 -6.50573e-24 2.30673e-12 -5.34022e-10
696.703 4.78066e-18 -4.98275e-24 2.3205e-12 -4.08956e-10
696.685 4.80931e-18 -3.44207e-24 2.33429e-12 -2.82469e-10
696.667 4.83801e-18 -1.88365e-24 2.3481e-12 -1.5456e-10
696.649 4.86674e-18 -3.07495e-25 2.36193e-12 -2.52277e-11
696.631 4.89551e-18 1.28643e-24 2.37577e-12 1.05529e-10
696.613 4.92432e-18 2.89814e-24 2.38962e-12 2.3771e-10
696.595 4.95316e-18 4.52765e-24 2.4035e-12 3.71318e-10
696.578 4.98204e-18 6.17499e-24 2.41739e-12 5.06353e-10
